,True_Gender_Label,Model1_Predictions,Model2_Predictions,Model3_Predictions,Model4_Predictions
88,0,0,0,0,0
89,0,0,0,0,1
90,0,0,0,0,0
91,1,1,1,1,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,1,0,0,0
95,1,1,1,1,1
96,0,0,0,0,0
97,0,0,0,0,0
98,1,1,1,1,1
99,1,1,1,1,1
100,0,0,0,0,0
101,1,1,1,1,0
102,1,1,1,0,1
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,1,1,1,1
107,0,1,0,0,0
108,1,1,1,1,1
109,1,1,1,1,1
110,0,0,0,0,0
111,0,0,0,0,0
112,1,1,1,1,1
113,0,0,0,0,0
114,1,1,1,1,1
115,0,0,0,0,0
116,1,1,1,1,1
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,1,1,1,1,1
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,1,1,1,1,1
125,0,0,0,0,0
126,1,1,1,1,1
127,0,0,0,0,0
128,1,1,1,1,1
129,0,0,0,0,0
130,0,0,0,0,0
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,1
134,0,0,0,0,0
135,1,1,1,1,1
136,1,1,0,1,1
137,0,0,0,0,0
138,1,1,1,1,1
139,1,1,1,1,1
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1,0,1,0,1
145,1,1,1,1,1
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,1,1,1,1,1
152,1,1,1,1,1
153,0,0,0,0,0
154,0,0,0,0,0
155,1,1,0,1,1
156,1,1,1,1,1
157,1,1,1,1,1
158,0,0,0,0,0
159,1,1,1,1,1
160,1,1,0,1,1
161,1,1,1,1,1
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,1,1,1,1,1
167,1,1,1,1,1
168,0,0,0,0,0
169,1,1,1,1,1
170,1,1,1,1,1
171,1,1,0,1,1
172,1,1,1,1,1
173,1,1,1,1,1
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,1,1,1,1,1
188,1,1,1,1,1
189,1,1,1,1,1
190,1,1,1,1,1
191,1,1,1,1,1
192,0,0,0,0,0
193,0,0,0,0,0
194,1,1,1,1,1
195,0,0,0,0,0
196,0,0,0,0,0
197,1,1,1,1,1
198,1,1,1,1,1
199,1,1,1,1,1
200,1,1,1,1,1
201,1,1,0,0,1
202,0,0,0,0,0
203,1,1,1,1,1
204,0,0,0,0,0
205,1,1,0,1,1
206,1,1,1,1,1
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,1,1,1,1,1
211,1,1,1,1,1
212,0,0,0,0,0
213,1,1,1,1,1
214,1,1,1,1,1
215,0,0,0,0,0
216,0,0,0,0,0
217,1,1,1,1,1
218,0,0,0,0,0
219,0,0,0,0,1
220,1,1,1,1,1
221,1,1,1,1,1
222,1,1,1,1,1
223,0,0,0,0,0
224,1,1,1,1,1
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,1,0,1,1,1
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,1,1,1,1,1
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,1,1,1,1,1
239,1,1,1,1,1
240,1,1,1,1,1
241,1,0,1,1,1
242,0,0,0,0,0
243,1,1,1,1,1
244,0,0,0,0,0
245,1,1,1,1,1
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,1,1,1,1,1
250,0,0,0,0,0
251,0,0,0,0,0
252,0,0,0,0,0
253,0,0,0,0,0
254,0,0,0,0,0
255,1,1,1,1,1
256,1,1,1,1,1
257,0,0,0,0,0
258,1,1,1,1,1
259,1,1,1,1,1
260,0,0,0,0,0
261,0,0,0,0,0
262,1,1,1,1,1
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,1,1,1,1,1
267,0,0,0,0,0
268,1,1,1,1,1
269,0,0,0,0,0
270,1,1,1,1,1
271,1,1,1,1,1
272,1,1,1,1,1
273,0,0,0,0,0
274,0,0,0,0,0
275,1,1,1,1,1
276,0,0,0,0,0
277,1,1,1,1,1
278,0,0,0,0,0
279,1,1,1,1,1
280,0,0,0,0,0
281,0,0,0,0,0
282,1,1,1,1,1
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,1,1,1,1,1
288,1,1,1,1,1
289,1,1,1,1,1
290,1,1,1,1,1
291,0,0,0,0,0
292,0,0,0,0,0
293,1,1,1,1,1
294,1,1,1,1,1
295,0,0,0,0,0
296,1,1,1,1,1
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,1,1,1,1,1
301,1,1,1,1,1
302,1,1,1,1,1
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,1,1,1,1,1
308,1,1,1,1,1
309,0,0,0,0,0
310,0,0,0,0,0
311,1,1,1,1,1
312,1,1,1,1,1
313,0,0,0,0,0
314,1,1,1,1,1
315,1,1,1,1,1
316,1,1,1,1,1
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,1,1,1,1,1
323,0,0,0,0,0
324,1,1,1,1,0
325,1,1,1,1,1
326,0,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,1
331,1,1,1,1,1
332,0,0,0,0,0
333,0,0,0,0,0
334,1,1,1,1,1
335,1,1,1,1,1
336,1,1,1,1,1
337,0,0,0,0,0
338,1,1,1,1,1
339,1,1,1,1,1
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,1,1,1,1,1
345,1,1,1,1,1
346,1,1,1,1,1
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,1,1,1,1,1
352,1,1,1,1,1
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,1,1,1,1,1
357,0,0,0,0,0
358,0,0,0,0,0
359,1,1,1,1,1
360,0,0,0,0,1
361,0,0,0,0,0
362,1,1,1,1,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,1,1,0,0,0
367,1,1,1,1,1
368,0,0,0,0,0
369,1,1,1,0,0
370,0,0,0,0,0
371,1,1,1,1,1
372,0,0,0,0,0
373,0,0,0,0,0
374,1,1,1,1,1
375,1,1,1,1,1
376,1,1,1,1,1
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,1,0,0,0
384,0,0,0,0,0
385,1,1,1,1,1
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,1,1,1,1,1
392,1,1,1,1,1
393,1,1,1,1,1
394,1,0,1,1,1
395,1,1,1,1,1
396,1,1,1,1,1
397,0,0,0,0,0
398,1,1,0,1,1
399,1,1,1,1,1
400,0,0,0,0,0
401,0,0,0,0,0
402,1,1,1,1,1
403,1,1,1,1,1
404,1,1,1,1,1
405,0,0,0,0,0
406,0,0,0,0,0
407,1,1,1,1,1
408,1,1,1,1,1
409,1,1,1,1,1
410,1,1,1,1,1
411,0,0,0,0,0
412,0,0,0,0,0
413,1,1,1,1,1
414,1,1,1,1,1
415,1,1,1,1,1
416,1,1,1,1,1
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,1,1,1,1,1
423,0,0,0,0,0
424,1,1,1,1,1
425,1,1,1,1,1
426,0,0,0,0,0
427,1,1,1,1,1
428,1,1,1,1,1
429,0,0,0,0,0
430,1,1,1,1,1
431,1,1,1,1,1
432,0,0,0,0,0
433,1,1,0,1,1
434,1,1,1,1,1
435,1,1,1,1,1
436,0,0,0,0,0
437,0,0,0,0,0
438,1,1,1,1,1
439,0,0,0,0,0
440,0,0,0,0,0
441,1,1,1,1,1
442,1,1,1,1,1
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,1,1,1,1,1
450,1,1,1,1,1
451,1,1,1,1,1
452,1,1,1,1,1
453,1,1,1,1,1
454,1,1,1,1,1
455,1,1,0,1,1
456,1,1,1,1,1
457,1,1,1,1,1
458,1,1,1,0,1
459,0,0,0,0,0
460,0,0,0,0,0
461,1,1,1,1,1
462,1,1,1,1,1
463,1,1,1,1,1
464,1,1,1,1,1
465,0,0,0,0,0
466,0,0,0,0,0
467,1,1,1,1,1
468,1,1,1,1,1
469,0,0,0,0,0
470,0,0,0,0,0
471,0,0,0,0,0
472,1,1,0,1,1
473,0,0,0,0,0
474,1,1,1,1,1
475,1,1,1,1,1
476,0,0,0,0,0
477,0,0,0,0,0
478,1,1,1,1,1
479,1,1,1,1,1
480,0,1,0,0,0
481,1,1,1,1,1
482,1,1,1,1,1
483,1,1,1,1,1
484,1,1,1,1,1
485,0,0,0,0,0
486,1,1,1,1,1
487,0,0,0,0,0
488,1,1,1,1,1
489,1,1,1,1,1
490,1,1,1,1,1
491,1,1,1,1,1
492,0,0,0,0,0
493,0,0,0,0,0
494,0,0,0,0,0
495,0,0,0,0,0
496,0,0,0,0,0
497,1,1,1,1,1
498,1,1,1,1,1
499,0,0,0,0,0
500,1,1,1,1,1
501,1,1,1,1,1
502,1,1,1,1,1
503,1,1,1,1,1
504,0,0,0,0,0
505,1,1,1,1,1
506,1,1,1,1,1
507,1,1,1,1,1
508,0,0,0,0,0
509,0,0,0,0,0
510,1,0,1,1,0
511,0,0,0,0,1
512,1,1,1,1,1
513,1,1,1,1,1
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,1,1
517,0,0,0,0,0
518,1,1,1,1,1
519,0,0,0,0,0
520,1,1,1,1,1
521,1,1,1,1,1
522,1,1,1,1,1
523,1,1,1,1,1
524,1,1,1,1,1
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,1,1,1,1,1
529,0,0,0,0,0
530,0,0,0,0,0
531,1,1,1,1,1
532,0,0,0,0,0
533,1,0,1,1,1
534,0,0,0,0,0
535,0,0,0,0,0
536,1,1,1,1,1
537,0,0,0,0,0
538,1,1,1,1,1
539,1,1,1,1,1
540,1,1,0,1,1
541,1,1,1,0,1
542,0,0,0,0,0
543,0,0,0,0,0
544,0,0,0,0,0
545,1,1,1,1,1
546,1,1,1,1,1
547,0,0,0,0,0
548,0,0,0,0,0
549,1,1,1,1,1
550,0,0,0,0,0
551,1,1,1,1,1
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,1,1,1,1,1
556,1,1,1,1,1
557,1,1,1,1,1
558,0,0,0,0,0
559,1,1,1,1,1
560,1,1,1,1,0
561,0,0,0,0,0
562,0,1,0,0,0
563,1,1,1,1,1
564,1,1,1,1,1
565,1,1,1,1,1
566,0,0,0,0,0
567,1,1,1,1,1
568,0,0,1,0,0
569,0,0,1,0,0
570,0,0,0,0,0
571,0,0,0,0,0
572,1,1,1,1,1
573,1,1,1,0,1
574,1,1,1,1,1
575,0,0,0,0,0
576,1,1,1,1,1
577,1,1,1,1,1
578,0,0,0,0,0
579,0,0,0,0,0
580,1,1,1,1,1
581,1,1,1,1,1
582,0,0,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,1,0,0,1
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,0,0,0
590,0,0,0,0,1
591,0,0,0,0,0
592,0,0,1,0,0
593,0,0,1,0,0
594,0,0,0,0,0
595,1,1,1,1,1
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,1,1,1,1,1
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,1,1,1,0,1
607,1,1,1,1,1
608,1,0,0,1,1
609,0,0,1,0,0
610,0,1,1,0,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,1,1,1,1,1
618,0,0,0,0,0
619,1,1,1,1,1
620,0,0,0,0,0
621,1,1,1,1,1
622,1,1,1,1,1
623,1,1,1,1,1
624,1,1,1,1,1
625,1,1,1,1,1
626,1,1,1,1,0
627,0,0,0,0,0
628,0,0,0,0,0
629,1,1,1,1,1
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,0
633,1,1,1,1,1
634,0,0,0,0,0
635,0,0,0,0,0
636,0,0,0,0,0
637,1,1,1,1,1
638,0,0,0,0,0
639,0,0,0,0,0
640,0,0,0,0,0
641,0,0,0,0,0
642,0,0,0,0,0
643,1,1,1,1,1
644,0,0,0,0,0
645,1,1,1,1,1
646,0,0,0,0,0
647,0,0,0,0,0
648,0,0,0,0,0
649,1,0,1,1,1
650,0,0,0,0,0
651,0,0,0,0,0
652,1,1,1,1,1
653,0,0,0,0,0
654,1,1,1,1,1
655,0,0,0,0,0
656,0,0,0,0,0
657,1,1,1,1,1
658,0,0,0,0,0
659,0,0,0,0,0
660,1,1,1,1,1
661,1,1,1,1,1
662,1,1,1,1,1
663,0,0,0,0,0
664,0,0,0,0,0
665,1,1,1,1,1
666,0,0,0,0,0
667,1,1,1,1,1
668,0,0,0,0,0
669,0,0,0,0,0
670,0,0,0,0,0
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,1,1,1,1,1
675,1,0,1,1,1
676,1,1,1,1,1
677,0,0,0,0,0
678,0,0,0,0,0
679,0,0,0,0,0
680,0,0,0,0,0
681,0,0,0,0,1
682,1,1,1,1,1
683,0,0,0,0,0
684,1,1,1,1,1
685,1,1,1,1,1
686,0,0,0,0,0
687,1,0,1,1,1
688,0,0,0,0,0
689,1,1,1,1,1
690,0,0,0,0,0
691,0,0,0,0,0
692,1,1,1,1,1
693,1,1,1,1,1
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,1,1,1,1,1
699,0,0,0,0,0
700,1,1,1,1,1
701,1,1,1,1,1
702,1,1,1,1,1
703,1,1,1,1,1
704,0,0,0,0,0
705,1,1,1,1,1
706,0,0,0,0,0
707,1,1,1,1,1
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,1,1,1,1,1
712,0,0,0,0,0
713,1,1,1,1,1
714,0,0,0,0,0
715,1,1,1,1,1
716,0,0,0,0,0
717,0,0,0,0,0
718,1,1,1,1,1
719,1,1,1,1,1
720,0,0,0,0,0
721,1,1,1,1,1
722,1,1,1,1,1
723,1,1,1,1,1
724,1,1,1,1,1
725,1,1,1,1,1
726,1,1,1,1,1
727,0,0,0,0,0
728,1,1,1,1,1
729,1,1,1,1,1
730,1,1,1,1,1
731,0,0,0,0,0
732,1,1,1,1,1
733,1,1,1,1,1
734,0,0,0,0,0
735,1,1,1,1,1
736,1,1,1,1,1
737,1,1,1,1,1
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,0
741,0,0,0,0,0
742,0,0,0,0,0
743,1,1,1,1,0
744,0,0,0,0,0
745,1,1,1,1,1
746,1,1,1,1,1
747,1,1,1,1,1
748,1,1,1,1,1
749,0,0,1,0,0
750,0,0,0,0,0
751,1,1,1,1,1
752,1,1,1,1,1
753,1,1,1,1,1
754,1,1,1,1,1
755,0,0,0,0,0
756,0,0,0,0,0
757,0,0,0,0,0
758,0,0,0,0,0
759,0,0,0,0,0
760,0,0,0,0,0
761,1,1,1,1,1
762,1,1,1,1,1
763,1,1,1,1,1
764,1,1,1,1,1
765,1,1,1,1,1
766,0,0,0,0,0
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,1,0,0
770,0,0,0,0,0
771,1,1,1,1,1
772,0,0,0,0,0
773,1,1,1,1,1
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,1,1,1,1,1
778,0,0,0,0,0
779,1,1,1,1,1
780,1,1,1,1,1
781,1,1,1,1,1
782,0,0,0,0,0
783,1,1,1,1,1
784,1,1,1,1,1
785,1,1,1,1,1
786,1,1,1,1,1
787,1,1,1,1,1
788,1,1,1,1,1
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,1,0
794,1,1,1,1,1
795,1,1,1,1,1
796,0,0,0,0,0
797,1,1,1,1,1
798,1,1,1,1,1
799,0,0,0,0,0
800,0,0,0,0,0
801,0,0,0,0,0
802,1,1,1,1,1
803,1,1,1,1,1
804,0,0,0,0,0
805,0,0,0,0,0
806,1,1,1,1,1
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,1,1,1,1,1
811,0,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,0
814,0,0,0,0,0
815,1,1,1,1,1
816,0,0,0,0,1
817,1,1,1,1,1
818,0,0,0,0,0
819,1,1,1,1,1
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,0
823,1,1,1,1,1
824,1,1,1,1,1
825,1,1,1,1,1
826,0,0,0,0,0
827,1,0,1,1,1
828,0,0,0,0,1
829,0,0,0,0,0
830,1,1,1,1,1
831,0,0,0,0,0
832,0,0,0,0,0
833,1,1,1,1,1
834,0,0,1,0,0
835,0,0,0,0,0
836,0,0,0,0,0
837,1,1,1,1,1
838,1,1,1,1,1
839,0,0,0,0,0
840,1,1,1,1,1
841,0,0,0,0,0
842,0,0,0,0,0
843,0,1,1,0,1
844,0,0,0,0,0
845,0,0,0,0,0
846,1,1,1,1,1
847,0,0,0,0,0
848,0,0,0,0,0
849,1,1,1,1,0
850,0,0,0,0,0
851,1,1,1,1,1
852,0,0,0,0,0
853,0,0,0,0,0
854,0,0,0,0,0
855,0,0,0,0,0
856,1,1,1,1,1
857,0,0,0,0,1
858,1,1,1,1,1
859,1,1,1,1,1
860,0,0,0,0,0
861,1,1,1,1,1
862,1,1,1,1,1
863,0,0,0,0,0
864,0,0,0,0,0
865,0,0,0,0,0
866,1,1,1,1,1
867,1,1,1,1,1
868,1,1,1,1,1
869,0,0,0,0,0
870,1,1,0,1,1
871,1,0,1,1,1
872,1,0,1,1,1
873,0,0,0,0,0
874,0,0,0,0,0
875,0,0,0,0,0
876,0,0,0,0,0
877,0,0,0,0,0
878,1,1,1,1,1
879,1,1,1,1,1
880,0,0,1,0,0
881,1,1,1,1,1
882,1,1,1,1,1
883,0,0,0,0,0
884,1,1,1,1,1
885,1,1,1,1,1
886,0,0,0,0,0
887,0,0,0,0,0
888,1,1,1,1,1
889,0,0,0,0,0
890,1,1,1,1,1
891,1,1,1,1,1
892,1,1,1,1,1
893,0,0,0,0,0
894,0,0,0,0,0
895,1,1,1,1,1
896,1,1,1,1,1
897,1,1,1,1,1
898,0,0,0,0,0
899,0,0,0,0,0
900,0,0,0,0,0
901,1,1,1,1,1
902,1,1,1,1,1
903,1,1,1,1,1
904,0,0,0,0,0
905,1,1,1,1,1
906,0,0,0,0,0
907,1,1,1,1,1
908,0,0,0,0,0
909,1,1,1,1,1
910,0,0,0,0,0
911,1,1,1,1,1
912,0,0,0,0,0
913,0,0,0,0,0
914,1,1,1,1,0
915,1,1,1,1,1
916,1,1,1,1,1
917,1,1,1,1,1
918,0,0,0,0,0
919,0,0,0,0,0
920,1,1,1,1,1
921,0,0,0,0,0
922,1,1,1,1,1
923,1,1,0,1,1
924,1,1,1,1,1
925,0,0,0,0,0
926,0,0,0,0,0
927,0,0,0,0,0
928,1,1,1,1,1
929,1,1,1,1,1
930,1,1,1,1,1
931,0,0,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,1,1,1,1,1
935,0,0,0,0,0
936,0,0,0,0,0
937,0,0,0,0,0
938,0,1,0,1,0
939,1,1,1,1,1
940,1,1,1,1,0
941,1,1,1,1,1
942,0,0,0,0,0
943,1,1,1,1,1
944,1,1,1,1,1
945,1,1,1,1,1
946,1,1,1,1,1
947,1,1,1,1,1
948,0,0,0,0,0
949,0,0,0,0,0
950,0,0,0,0,0
951,0,0,0,0,0
952,0,0,0,0,0
953,1,1,1,1,1
954,0,0,0,0,0
955,0,0,0,0,0
956,0,0,0,0,0
957,0,0,0,0,0
958,0,0,0,0,0
959,1,1,1,1,1
960,1,1,1,1,1
961,1,1,1,1,1
962,0,0,0,0,0
963,1,1,1,1,1
964,1,1,1,1,1
965,0,0,0,0,0
966,0,0,0,0,0
967,0,0,0,0,0
968,0,0,0,0,0
969,0,0,0,0,0
970,1,1,1,1,0
971,1,1,1,1,1
972,1,1,1,1,1
973,1,1,1,1,1
974,0,0,0,0,0
975,0,0,0,0,0
976,0,0,0,0,0
977,0,0,0,0,0
978,0,0,0,0,0
979,0,0,0,0,0
980,1,1,1,1,1
981,1,1,1,1,1
982,1,0,1,1,1
983,0,0,0,0,0
984,0,0,0,0,0
985,0,0,0,0,0
986,1,1,1,1,1
987,1,1,1,1,1
988,1,1,1,1,1
989,1,1,1,1,1
990,0,0,0,0,1
991,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,0
994,0,0,0,0,0
995,0,0,0,0,0
996,0,0,0,0,0
997,1,1,1,1,1
998,1,1,1,1,1
999,0,0,0,0,0
1000,1,1,1,1,1
1001,0,0,0,0,0
1002,0,0,0,0,0
1003,0,0,0,0,0
1004,1,1,1,1,1
1005,1,1,1,1,1
1006,0,0,0,0,0
1007,0,0,0,0,0
1008,0,0,0,0,0
1009,0,0,0,0,0
1010,0,0,0,0,0
1011,1,1,0,0,1
1012,1,1,0,1,1
1013,1,1,1,1,1
1014,0,0,0,0,0
1015,0,0,0,0,0
1016,0,0,0,0,0
1017,1,1,1,1,1
1018,0,0,0,0,0
1019,0,0,0,0,1
1020,1,1,1,1,1
1021,0,0,0,0,0
1022,1,1,1,1,1
1023,0,0,0,0,0
1024,1,1,1,1,1
1025,1,1,1,1,1
1026,0,0,0,0,0
1027,1,1,1,1,1
1028,0,0,0,0,0
1029,0,0,0,0,0
1030,1,1,1,1,1
1031,0,0,0,0,0
1032,1,1,1,1,1
1033,1,1,1,1,1
1034,1,1,1,1,1
1035,1,1,1,1,1
1036,0,0,0,0,0
1037,1,1,1,1,1
1038,0,0,0,0,0
1039,1,1,1,1,1
1040,1,1,1,1,1
1041,0,0,0,0,0
1042,1,1,1,1,1
1043,0,0,0,0,0
1044,1,1,1,1,1
1045,1,1,1,1,1
1046,0,0,0,0,0
1047,0,0,0,0,0
1048,1,1,1,1,1
1049,0,0,1,0,0
1050,1,1,1,1,1
1051,0,0,0,0,0
1052,0,0,0,0,0
1053,0,0,0,0,0
1054,1,1,1,1,1
1055,1,1,1,1,1
1056,0,0,0,0,0
1057,1,1,1,1,1
1058,1,1,1,1,1
1059,1,1,1,1,1
1060,0,1,0,0,0
1061,1,1,1,1,1
1062,0,0,0,0,0
1063,1,1,1,1,1
1064,1,0,1,1,0
1065,0,0,0,0,0
1066,0,0,0,0,0
1067,0,0,0,0,0
1068,1,1,1,1,1
1069,1,1,1,1,1
1070,1,1,1,1,0
1071,1,1,1,1,1
1072,1,1,1,1,1
1073,1,1,1,1,1
1074,0,0,0,0,0
1075,0,0,0,0,0
1076,1,1,1,1,1
1077,0,0,0,0,0
1078,1,1,1,1,1
1079,1,1,1,1,1
1080,0,0,0,0,0
1081,1,1,1,1,1
1082,0,0,0,0,0
1083,1,1,1,1,1
1084,0,0,0,0,0
1085,1,1,1,1,1
1086,0,0,0,0,0
1087,0,0,0,0,0
1088,1,1,1,1,1
1089,1,1,1,1,1
1090,1,1,1,1,1
1091,1,1,0,1,1
1092,1,1,1,1,1
1093,1,1,1,1,1
1094,1,0,1,1,1
1095,0,0,0,0,0
1096,0,0,0,0,0
1097,0,0,0,0,0
1098,0,0,0,0,0
1099,0,0,0,0,0
1100,1,1,1,1,1
1101,0,0,0,0,0
1102,0,0,0,0,0
1103,0,0,0,0,0
1104,1,1,1,1,1
1105,1,1,1,1,1
1106,1,0,1,1,1
1107,0,0,0,0,0
1108,0,0,0,0,0
1109,1,1,1,1,0
1110,1,1,1,1,1
1111,1,1,1,1,1
1112,0,0,0,0,0
1113,0,0,0,0,0
1114,1,1,1,1,1
1115,0,0,0,0,0
1116,1,1,1,1,1
1117,1,1,1,1,1
1118,0,0,0,0,0
1119,0,0,0,0,0
1120,1,1,1,1,1
1121,0,0,0,0,0
1122,0,0,0,0,0
1123,1,1,1,1,1
1124,0,0,0,0,0
1125,1,1,1,1,1
1126,0,0,0,0,0
1127,0,0,0,0,0
1128,0,0,0,0,0
1129,0,0,0,0,0
1130,0,0,0,0,0
1131,1,1,1,1,1
1132,0,0,0,0,0
1133,0,0,0,0,0
1134,1,1,1,1,1
1135,0,0,0,0,0
1136,0,0,0,0,0
1137,1,1,1,1,1
1138,1,1,1,1,1
1139,0,0,0,0,0
1140,0,0,0,0,0
1141,1,1,1,1,1
1142,0,0,0,0,0
1143,0,0,0,0,0
1144,0,0,0,0,0
1145,1,0,1,1,1
