,pathname,filename,mfccfeatures,Class
10,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_2l_.wav,1_iO_1.0n_2l_.wav,"[-1.81097931e+02  1.13181770e+02 -2.79180565e+01  5.29219484e+00
 -3.15227737e+01  4.45111179e+00 -2.51613770e+01  1.20294428e+01
  7.35595107e-01 -5.28767252e+00 -2.87483597e+01  1.24269285e+01
 -7.07385302e+00 -7.92130470e+00 -5.63774204e+00  1.17613239e+01
 -8.03328896e+00 -5.13208055e+00 -7.10145378e+00  1.58474283e+01
  2.81877065e+00 -8.87866879e+00 -7.64262772e+00 -8.38542175e+00
 -1.35717049e+01 -8.56070518e+00 -2.60958004e+00  6.70007586e-01
 -4.31417227e-01  7.10367918e+00  1.09086266e+01  2.28158808e+00
 -1.16345768e+01 -1.15033738e-01 -5.54447222e+00  7.17759418e+00
 -2.86694813e+00 -8.58550891e-02 -1.07030436e-01 -2.09129214e+00]",no leak present
11,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_2m_.wav,1_iO_1.0n_2m_.wav,"[ 3.88585472e+01  1.06884544e+02 -2.93017101e+01  9.61518764e+00
 -3.13958740e+01 -7.71048144e-02 -2.28958664e+01  1.17864866e+01
 -1.07024026e+00 -3.30154371e+00 -2.69996414e+01  1.14427824e+01
 -7.93663406e+00 -5.88823605e+00 -7.45651770e+00  9.76801968e+00
 -7.57920504e+00 -3.41572976e+00 -8.94086361e+00  1.42483845e+01
  1.07434750e+00 -4.81536770e+00 -8.74187565e+00 -8.83975887e+00
 -1.60369625e+01 -5.32187510e+00 -4.69794750e+00  2.45864081e+00
 -1.98411071e+00  8.25023651e+00  9.47776031e+00  3.88151097e+00
 -1.20329037e+01 -1.05940759e+00 -5.21722841e+00  5.61861181e+00
 -1.78480446e+00 -2.68140230e-02 -2.33061194e+00  5.13574600e-01]",no leak present
12,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_3l_.wav,1_iO_1.0n_3l_.wav,"[-1.7034822e+02  1.2456995e+02 -2.8887320e+01  3.0255435e+00
 -2.9330818e+01  9.6223640e+00 -2.3834017e+01  8.3650141e+00
  1.6019447e+00 -7.6160941e+00 -3.2073605e+01  8.2172432e+00
 -1.1345469e+01 -1.3279655e+01 -4.8552623e+00  3.1149299e+00
 -8.4924107e+00 -3.1759348e+00 -1.0824924e+01  1.3771554e+01
  3.2539594e+00 -7.9889560e+00 -5.4191432e+00 -6.0870156e+00
 -1.3163565e+01 -6.2450485e+00 -2.2020648e+00 -8.7343287e-01
 -2.8925309e+00  4.4814286e+00  1.0616794e+01  2.9557014e+00
 -9.1699381e+00 -1.3129724e+00 -2.9961855e+00  5.4424505e+00
 -1.9354168e+00 -2.7099125e+00  1.6047439e-01  2.6556063e+00]",no leak present
13,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_3m_.wav,1_iO_1.0n_3m_.wav,"[-2.1714266e+01  1.2199073e+02 -2.9108767e+01  1.2316216e+00
 -2.8657614e+01  9.7125072e+00 -2.4474506e+01  7.7981281e+00
  3.8631138e-01 -8.0198812e+00 -3.2979366e+01  9.1078835e+00
 -1.2216826e+01 -1.3648656e+01 -3.9471736e+00  4.7623119e+00
 -9.5811720e+00 -3.2840719e+00 -1.2048445e+01  1.5058728e+01
  2.9772012e+00 -6.4791703e+00 -9.4381580e+00 -6.9118438e+00
 -1.2256378e+01 -4.2697282e+00 -4.8408895e+00 -1.0866669e+00
 -1.3095975e+00  4.7916656e+00  9.8274488e+00  1.9888721e+00
 -1.2558905e+01  5.7306081e-01 -2.7928977e+00  4.7033277e+00
 -3.1712494e+00 -2.1537740e+00 -2.6452767e-02  6.0358316e-01]",no leak present
14,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_4l_.wav,1_iO_1.0n_4l_.wav,"[-186.98216    111.57254    -27.504591     6.3265834  -30.237919
    3.2527456  -26.70104     11.833307    -4.537389    -7.8689775
  -28.848202    10.501239   -10.240019   -13.007224    -5.3546534
    9.052327    -8.045597    -3.6235871   -7.1855      14.153534
    1.6006421  -10.216633    -7.857383    -6.593553    -9.787083
   -5.766898    -2.4266787   -1.1277678   -2.9486046    4.7926445
   11.442993     8.767532    -6.704567     1.1901004   -5.99961
    2.6882255   -5.352597    -2.9978206    1.7476144    1.7651887]",no leak present
15,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_4m_.wav,1_iO_1.0n_4m_.wav,"[ 42.757893   104.92932    -29.108759     9.010937   -29.240595
   1.8164176  -27.554634    10.23006     -3.566755    -3.2961411
 -27.95177     10.356044   -12.123989    -8.529466    -9.42929
   8.557798    -8.595612    -3.3282075   -5.1767907   18.223537
   1.0510854   -9.822954   -12.149065    -5.80288     -8.507314
  -0.7308554   -4.1919627   -1.9439939   -6.5211873    7.460734
   8.528239    10.034361    -8.288767     3.0283241   -6.5800357
   7.103621    -6.4178042   -2.0908475    0.13379298   1.9990497 ]",no leak present
16,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_1l_.wav,1_iO_2.0n_1l_.wav,"[-137.08615     115.61982     -25.59249       5.9223056   -29.572184
    6.615859    -20.150843     15.143801      3.5567286    -9.368691
  -33.130253     14.200859    -13.536157    -12.840617     -6.5482244
    7.4042907    -5.5690475    -3.1024806   -11.715        10.58235
    0.23549254  -10.564623     -8.135359     -8.434539    -15.222687
   -4.8330817    -3.9833195    -5.185836     -4.2945013     5.192704
    9.161726      2.467698    -10.998766     -0.7930043    -5.378986
    2.1171374    -3.1241255     1.1626011     0.617038     -0.2197069 ]",no leak present
17,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_1m_.wav,1_iO_2.0n_1m_.wav,"[ 99.591774    99.66353    -33.202095    16.01084    -24.404974
   5.5795903  -14.766121    15.692603    -2.8143837   -2.169453
 -23.225046     7.9152126  -12.135738    -5.9635253   -6.5012016
  10.075187    -7.683163    -0.550619    -7.806918    11.348545
  -3.3423533   -1.2783861   -9.971885    -2.840194   -13.568608
  -1.289518    -5.4783335    1.2123423   -5.179356     6.824142
   5.604619     4.267687    -9.8133135    1.2306094   -5.7328086
   3.4499164   -1.7137744    4.4694595    0.1167757    0.47092444]",no leak present
18,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_2l_.wav,1_iO_2.0n_2l_.wav,"[-183.07175     113.6152      -27.520601      6.5443087   -32.45878
    4.6832857   -26.262987     13.949986     -0.9500325    -5.179076
  -30.004807     14.888911     -9.639338     -7.8617225    -6.0803766
   12.822443     -9.468298     -6.386699     -7.269674     16.891253
    0.33859694   -7.1204066    -7.7147346    -8.251815    -15.617861
   -7.906584     -3.1133132     0.83673686   -2.9093854     7.9754677
   11.307001      1.295294    -12.439133      1.2774166    -5.9506187
    6.5663304    -4.8067713     2.6549244    -0.83091176   -4.5610485 ]",no leak present
19,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_2m_.wav,1_iO_2.0n_2m_.wav,"[ 3.7620880e+01  1.0717270e+02 -2.8616962e+01  1.0470875e+01
 -3.1044218e+01  2.8912562e-03 -2.3839226e+01  1.3574953e+01
 -2.4263082e+00 -3.8476305e+00 -2.6947769e+01  1.3450051e+01
 -9.6816473e+00 -5.7510033e+00 -7.8010559e+00  1.0870352e+01
 -8.4242220e+00 -4.7890320e+00 -8.6289062e+00  1.5484484e+01
 -7.4904025e-01 -3.4747763e+00 -8.4065123e+00 -8.8084517e+00
 -1.7628794e+01 -4.3584566e+00 -4.6585512e+00  2.2865305e+00
 -3.9873857e+00  8.8519421e+00  1.0639234e+01  2.7756193e+00
 -1.2815339e+01  8.6077368e-01 -5.8625078e+00  5.2131395e+00
 -2.9889457e+00  2.3830733e+00 -2.8462448e+00 -1.5374861e+00]",no leak present
20,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_3l_.wav,1_iO_2.0n_3l_.wav,"[-171.67915     124.6816      -27.730639      4.0679      -29.518831
    8.826717    -24.95987       9.151404      0.23300171   -7.906359
  -31.881578      9.685741    -13.960544    -13.278069     -5.204164
    4.036008     -9.339251     -5.2469196   -10.746015     14.511555
    1.6753023    -7.251646     -5.103315     -7.2103066   -14.386919
   -5.7238107    -2.1786249    -0.9994032    -5.01734       5.014612
   12.298986      1.5721601   -10.117406      0.18939076   -2.9503644
    4.2670484    -4.0835586    -1.0578787    -0.35341984    0.49048212]",no leak present
21,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_3m_.wav,1_iO_2.0n_3m_.wav,"[-23.308126   122.4959     -28.235327     2.5638468  -29.254847
   9.733485   -25.719093     8.835917    -1.2005855   -8.57366
 -32.387154    10.534717   -14.761852   -13.393388    -4.2066407
   5.360844    -9.9883175   -5.377475   -11.957409    15.855129
   1.0741755   -4.914981    -9.56789     -7.794579   -13.531268
  -3.435901    -4.755858    -1.3523464   -3.3070068    5.51872
  11.165755     0.84650815 -13.397016     1.9276582   -2.7071297
   4.132967    -5.2154913   -1.0095245   -0.46689287  -1.0076764 ]",no leak present
22,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_4l_.wav,1_iO_2.0n_4l_.wav,"[-188.4329      111.812454    -27.206146      7.579643    -31.269764
    3.799659    -27.251114     13.009017     -6.60966      -7.607986
  -29.6357       12.700419    -12.507709    -12.648074     -6.349162
    9.988681     -9.701111     -4.9142947    -6.8608756    14.982219
   -0.8542713    -9.215397     -7.8499174    -6.394738    -11.245143
   -4.817548     -2.5637295    -1.4724382    -5.7266617     5.8952394
   11.87803       8.084953     -7.723963      2.6355474    -6.2806273
    2.0918674    -7.3702126    -0.6290646     0.63089347   -0.35890502]",no leak present
23,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_4m_.wav,1_iO_2.0n_4m_.wav,"[ 42.73783    103.796234   -27.97923      9.366997   -28.503803
   1.4623437  -26.897081    10.670095    -4.6222143   -3.915011
 -27.778538    11.793898   -12.93728     -8.997136    -9.2854805
   8.575802    -9.008037    -4.9013143   -4.418007    18.390902
   0.17458315  -9.670261   -11.180607    -6.407448    -8.898175
  -0.32015008  -3.388224    -2.5206192   -8.449067     7.5796776
   9.903261     9.0330715   -8.203302     4.0139713   -6.4508095
   6.6545205   -8.196313    -0.2240379    0.33699518  -0.6840628 ]",no leak present
24,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_1l_.wav,1_iO_3.0n_1l_.wav,"[-133.72072    114.877754   -27.446867     5.7270308  -28.147852
    5.7870035  -21.15526     16.238985     5.6460104   -9.954221
  -34.04067     13.383838   -12.372419   -12.329183    -5.820068
    7.6568055   -5.1904106   -2.5481553  -12.843195    10.20987
    1.8419235  -10.948659    -8.258896    -9.174137   -13.434656
   -4.360281    -4.9136505   -6.1717854   -2.4646637    4.707803
    6.5964456    5.078664    -9.722662    -1.8341256   -6.458921
    2.9052327   -1.9681453   -0.7938912    0.487791     2.7920487]",no leak present
25,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_1m_.wav,1_iO_3.0n_1m_.wav,"[ 1.0249493e+02  9.5884941e+01 -3.4713345e+01  1.6570877e+01
 -2.4179768e+01  5.1509299e+00 -1.4637187e+01  1.6061325e+01
 -1.7399932e+00 -1.8798087e+00 -2.3690208e+01  6.8282671e+00
 -1.1007550e+01 -5.0103459e+00 -6.7021470e+00  1.0559340e+01
 -7.1588769e+00 -4.2256111e-01 -8.7107925e+00  1.1317128e+01
 -2.5645998e+00 -1.0777040e+00 -1.0610422e+01 -2.2634616e+00
 -1.2181553e+01 -1.3489158e+00 -6.2386866e+00  1.2561715e+00
 -3.9390504e+00  5.5929670e+00  3.8467424e+00  6.1414537e+00
 -8.6428919e+00  6.0222024e-01 -6.3154559e+00  3.2833126e+00
 -1.1635532e+00  3.6577959e+00 -2.5863529e-03  2.3428688e+00]",no leak present
26,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_2l_.wav,1_iO_3.0n_2l_.wav,"[-179.47484     111.64985     -28.59074       6.2263694   -30.41738
    3.6247687   -26.154333     13.328602      1.9965982    -6.3080397
  -29.71607      13.2711115    -7.512754     -8.153467     -4.9668703
   11.895817     -7.44262      -6.067959     -8.126482     16.295616
    2.888167     -8.592517     -7.262653    -10.191958    -12.821903
   -7.5799265    -3.20929      -0.7248326    -0.83902746    6.8199496
    9.945899      3.5624487   -11.101881     -0.33593      -6.1207933
    6.7848907    -3.253261     -0.45456305   -0.7547247    -2.1456683 ]",no leak present
27,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_2m_.wav,1_iO_3.0n_2m_.wav,"[ 41.85865    104.36994    -30.510973    11.145774   -29.880156
  -0.8587124  -23.805153    13.422147     0.15229799  -4.0298586
 -27.434952    11.649494    -7.580989    -5.669579    -7.5202427
  10.82627     -7.021311    -4.069548    -9.552039    15.053803
   0.8143553   -4.144131    -8.785621    -9.194273   -15.520376
  -4.31669     -4.81219      1.456975    -2.0846565    7.3909163
   8.91807      5.5212617  -11.624953    -0.6910368   -5.8224645
   4.9720306   -2.0697       0.17793447  -2.822455     0.8095173 ]",no leak present
28,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_3l_.wav,1_iO_3.0n_3l_.wav,"[-168.12445     123.431755    -30.077404      4.2332034   -29.348543
    8.720664    -24.624714      9.535921      1.9493098    -8.69339
  -32.858883      9.2404      -12.061304    -13.111352     -4.5014377
    3.58459      -8.3047       -4.1302185   -12.081075     14.044303
    3.4637842    -8.127314     -5.276569     -7.684872    -12.832094
   -4.9902062    -2.691912     -2.4899867    -3.2661877     4.22595
    9.898619      3.8097777    -9.094422     -0.7165264    -4.06711
    4.891721     -2.6231797    -2.968487     -0.18001315    3.3438401 ]",no leak present
29,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_3m_.wav,1_iO_3.0n_3m_.wav,"[-19.493773   120.98922    -30.427536     2.5400522  -28.458374
   8.794835   -25.185406     8.916912     1.0465335   -9.267838
 -33.28039     10.050054   -12.999976   -13.569069    -3.4749494
   5.2291403   -8.976594    -4.2361226  -13.320136    15.451682
   2.9389057   -6.204918    -9.489596    -8.373721   -11.839068
  -2.8341036   -4.881211    -2.8794968   -1.7300216    4.674459
   8.77066      3.3736043  -12.528731     0.67747974  -3.2140176
   4.2332473   -3.8302348   -2.5085387   -0.34408823   1.4780073 ]",no leak present
30,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_4l_.wav,1_iO_3.0n_4l_.wav,"[-184.62117     110.31076     -29.003302      8.073456    -30.514387
    2.8680525   -27.49441      13.012552     -3.8362815    -8.2301655
  -30.16631      11.569346    -10.974665    -13.259076     -5.011289
   10.1133795    -7.8024006    -4.166163     -8.591738     14.122492
    2.1488235   -10.587987     -7.893893     -7.6053176    -9.3623295
   -5.002606     -3.2004685    -2.6949887    -3.1899142     5.134989
    9.793751     10.560099     -6.659349      0.90885687   -7.329375
    2.9531443    -6.0312176    -3.128818      1.193639      2.6984012 ]",no leak present
31,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_4m_.wav,1_iO_3.0n_4m_.wav,"[ 4.67392349e+01  1.01591240e+02 -3.01685791e+01  1.04443808e+01
 -2.76651878e+01  1.11194658e+00 -2.73197327e+01  1.07498665e+01
 -2.86946940e+00 -3.74553752e+00 -2.82078247e+01  1.11030159e+01
 -1.17826138e+01 -8.77784443e+00 -9.22386551e+00  9.76006794e+00
 -8.20850468e+00 -3.58775473e+00 -5.55465412e+00  1.78633041e+01
  9.91728663e-01 -9.54452991e+00 -1.19863119e+01 -6.50467157e+00
 -7.58601141e+00 -5.89294970e-01 -4.23369598e+00 -3.00223780e+00
 -6.29044390e+00  7.27120352e+00  7.76245213e+00  1.12451792e+01
 -7.79708195e+00  3.08083320e+00 -7.06414080e+00  6.84671688e+00
 -6.85948086e+00 -1.47452283e+00 -9.46153179e-02  2.33092380e+00]",no leak present
32,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_1l_.wav,1_iO_3.5n_1l_.wav,"[-133.83899     113.491165    -27.651712      5.2404876   -27.976568
    6.0066442   -21.80114      15.9805765     5.905849     -8.494424
  -34.52818      13.403559    -10.890692    -12.089796     -6.6488285
    7.679519     -5.333721     -3.6660695   -13.837412     11.46816
    2.7841535   -11.1375675    -9.008563     -8.912619    -13.600763
   -5.393966     -4.447607     -5.340214     -2.2019305     3.6300876
    7.0167775     4.695591    -10.802372     -1.4839611    -5.580025
    3.0493503    -2.0810378    -0.96393204    0.6793879     1.2999426 ]",no leak present
